                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.97895,                0.61558,                 1.0655,                0.80901,                0.63834,                0.72033,                0.31482,                 2.1322,                 1.5068,                 1.8024,              0.0010199,              0.0010199,              0.0010199
                    102,                0.98028,                0.61447,                  1.088,                0.79606,                0.64167,                0.71648,                0.31187,                  2.165,                 1.5302,                 1.8236,                0.00101,                0.00101,                0.00101
                    103,                 1.0029,                0.60361,                  1.113,                0.72599,                0.63014,                0.70366,                 0.3033,                 2.1224,                  1.507,                 1.7916,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.0372,                0.62675,                 1.1132,                0.87154,                 0.5577,                0.69246,                 0.2895,                 2.1194,                 1.4941,                 1.8305,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.0456,                0.64571,                 1.1797,                0.73414,                0.63014,                  0.675,                0.27444,                  2.132,                 1.6103,                  1.856,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.0392,                0.64632,                 1.1554,                0.79439,                0.57534,                0.65653,                0.27075,                 2.1817,                 1.5929,                 1.9301,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.0559,                 0.6612,                 1.1618,                 0.8415,                0.58191,                0.67302,                 0.2838,                 2.1361,                 1.5914,                 1.8719,              0.0009605,              0.0009605,              0.0009605
                    108,                0.96838,                0.60436,                 1.1094,                0.81193,                0.63014,                0.70673,                0.29227,                 2.1447,                 1.4986,                 1.9043,              0.0009506,              0.0009506,              0.0009506
                    109,                0.96842,                0.57147,                 1.0792,                0.84931,                0.57534,                0.68628,                0.30145,                 2.1215,                 1.4323,                 1.8916,              0.0009407,              0.0009407,              0.0009407
                    110,                0.94647,                0.58409,                 1.0717,                 0.7686,                0.64384,                0.69968,                0.29091,                 2.2121,                 1.3827,                 1.9401,              0.0009308,              0.0009308,              0.0009308
                    111,                0.96158,                0.59139,                 1.1153,                0.81304,                0.59578,                0.68344,                0.28376,                 2.2298,                 1.4453,                 1.9384,              0.0009209,              0.0009209,              0.0009209
                    112,                 0.9602,                0.57894,                 1.0883,                0.79398,                0.58077,                0.69282,                0.27934,                 2.2626,                 1.6503,                 1.9537,               0.000911,               0.000911,               0.000911
                    113,                0.96926,                0.57562,                 1.0963,                0.84095,                0.54795,                0.70615,                0.28663,                 2.2055,                  1.745,                 1.9106,              0.0009011,              0.0009011,              0.0009011
                    114,                0.98486,                0.58496,                 1.1232,                0.89746,                0.52055,                0.67517,                0.28951,                 2.2055,                 1.8405,                 1.9178,              0.0008912,              0.0008912,              0.0008912
                    115,                0.98562,                 0.6106,                  1.065,                0.92118,                0.54795,                 0.6887,                0.28856,                 2.1906,                 1.7186,                 1.9305,              0.0008813,              0.0008813,              0.0008813
                    116,                0.95454,                0.58997,                  1.062,                0.85222,                0.53425,                0.67073,                0.29553,                 2.1454,                  1.408,                 1.9389,              0.0008714,              0.0008714,              0.0008714
                    117,                0.93122,                0.56534,                 1.0941,                0.79577,                0.56164,                0.70189,                0.31018,                 2.1169,                 1.3811,                 1.9101,              0.0008615,              0.0008615,              0.0008615
                    118,                0.91807,                0.57033,                 1.0598,                0.72244,                0.64384,                0.73723,                0.32921,                 2.1086,                 1.3343,                 1.8659,              0.0008516,              0.0008516,              0.0008516
                    119,                 0.9825,                0.59141,                 1.0776,                0.86634,                0.57534,                0.74488,                0.33002,                 2.1348,                 1.2702,                 1.8878,              0.0008417,              0.0008417,              0.0008417
                    120,                0.91142,                 0.5634,                 1.0659,                0.88901,                0.58904,                0.73772,                0.29846,                  2.218,                 1.2538,                  1.987,              0.0008318,              0.0008318,              0.0008318
                    121,                0.87406,                0.55034,                 1.0265,                0.82631,                0.58656,                 0.7035,                0.28159,                 2.2183,                 1.2996,                 1.9747,              0.0008219,              0.0008219,              0.0008219
                    122,                0.87147,                0.53556,                 1.0394,                0.73202,                0.63014,                0.71661,                0.28776,                 2.1906,                 1.2612,                 1.9256,               0.000812,               0.000812,               0.000812
                    123,                0.85725,                0.53993,                 1.0254,                0.74144,                0.58904,                0.72678,                0.29989,                 2.1936,                  1.275,                 1.9339,              0.0008021,              0.0008021,              0.0008021
                    124,                 0.8729,                0.53226,                 1.0289,                0.69368,                0.71233,                0.73636,                0.30508,                 2.1341,                 1.3254,                 1.8679,              0.0007922,              0.0007922,              0.0007922
                    125,                0.86339,                0.54422,                 1.0625,                0.71178,                0.69863,                0.73028,                 0.2992,                 2.1244,                 1.3259,                 1.8855,              0.0007823,              0.0007823,              0.0007823
                    126,                0.85661,                0.55186,                 1.0392,                0.76015,                0.65753,                0.74157,                0.30853,                 2.1299,                 1.3256,                  1.889,              0.0007724,              0.0007724,              0.0007724
